ETFG Date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value
2021-11-22,VNQ,IIPR,0.00347,1113770.0,293021749.0
2021-11-22,VNQ,COR,0.00338,2000977.0,285059183.0
2021-11-22,VNQ,MGP,0.00333,7140136.0,281178556.0
2021-11-22,VNQ,CUZ,0.00325,6919939.0,274098784.0
2021-11-22,VNQ,DEI,0.00316,8168352.0,266941743.0
2021-11-22,VNQ,SRC,0.0031,5351481.0,261847965.0
2021-11-22,VNQ,RYN,0.00286,6471894.0,241595803.0
2021-11-22,VNQ,NSA,0.00286,3860171.0,241106281.0
2021-11-22,VNQ,TRNO,0.0028,3238153.0,236806129.0
2021-11-22,VNQ,SLG.UN,0.00268,3228529.0,226223027.0
2021-11-22,VNQ,HR,0.00258,6594372.0,218009938.0
2021-11-22,VNQ,HIW,0.00257,4843913.0,217201059.0
2021-11-22,VNQ,ADC,0.00251,2986026.0,212187008.0
2021-11-22,VNQ,RHP,0.00247,2435143.0,208302132.0
2021-11-22,VNQ,KRG,0.00244,10160494.0,206258028.0
2021-11-22,VNQ,RDFN,0.00244,4008876.0,205815694.0
2021-11-22,VNQ,PK,0.00242,11008803.0,203993120.0
2021-11-22,VNQ,DOC,0.00226,10030292.0,190675851.0
2021-11-22,VNQ,LXP,0.00223,12923842.0,188300378.0
2021-11-22,VNQ,BNL.UN,0.00214,6787879.0,180489703.0
2021-11-22,VNQ,HPP,0.00214,7027008.0,180945456.0
